[Best of generation 1500: fitness=0.8803029]

A1:
|Δευτέρα                                                         |Τρίτη                                                           |Τετάρτη                                                         |Πέμπτη                                                          |Παρασκευή                                                       
|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------
|ΘΡΗΣΚΕΥΤΙΚΑ (Βεατρίκη Βερσαλίου)                                |ΒΙΟΛΟΓΙΑ (Κλεάνθης Βιολιτζής)                                   |ΦΥΣΙΚΗ ΑΓΩΓΗ (Κλεομένης Παπαθεοδώρου)                           |ΑΓΓΛΙΚΑ (Αριστοκλής Δημητρίου)                                  |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ ΚΕΙΜΕΝΑ ΑΠΟ ΜΕΤΑΦΡΑΣΗ (Αριστοκλής Δημητρίου)    
|ΟΙΚΙΑΚΗ ΟΙΚΟΝΟΜΙΑ (Άγγελα Βούρστ)                               |ΓΛΩΣΣΑ (Τζέσικα Γουόκερ)                                        |ΙΣΤΟΡΙΑ (Δημήτρης Αναγνωστόπουλος)                              |ΑΓΓΛΙΚΑ (Κλεάνθης Βιολιτζής)                                    |ΤΕΧΝΟΛΟΓΙΑ (Ηλέκτρα Σένσορα)                                    
|- (-)                                                           |ΑΓΓΛΙΚΑ (Δημήτρης Αναγνωστόπουλος)                              |ΚΑΛΛΙΤΕΧΝΙΚΑ (Ηλέκτρα Σένσορα)                                  |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ ΚΕΙΜΕΝΑ ΑΠΟ ΜΕΤΑΦΡΑΣΗ (Βρασίδας Δημόπουλος)     |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Ηρακλής Στρατηγός)                      
|ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Βεατρίκη Βερσαλίου)                          |ΦΥΣΙΚΗ (Ιορδανία Ζωγράφου)                                      |ΓΛΩΣΣΑ (Κλεομένης Παπαθεοδώρου)                                 |ΓΛΩΣΣΑ (Μένιος Χρυσανθόπουλος)                                  |ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Κλεομένης Παπαθεοδώρου)                      
|ΘΡΗΣΚΕΥΤΙΚΑ (Βρασίδας Δημόπουλος)                               |ΦΥΣΙΚΗ ΑΓΩΓΗ (Θεόφραστος Παπανδρέου)                            |ΓΕΩΓΡΑΦΙΑ (Δημοσθένης Ψαλίδας)                                  |ΜΟΥΣΙΚΗ (Ηρακλής Στρατηγός)                                     |ΜΑΘΗΜΑΤΙΚΑ (Θάλεια Αναγνωστάκη)                                 
|ΜΑΘΗΜΑΤΙΚΑ (Μένιος Χρυσανθόπουλος)                              |ΙΣΤΟΡΙΑ (Αγγέλα Παπαδημακοπούλου)                               |ΜΑΘΗΜΑΤΙΚΑ (Βρασίδας Δημόπουλος)                                |ΠΛΗΡΟΦΟΡΙΚΗ (Ηλέκτρα Σένσορα)                                   |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Τζέσικα Γουόκερ)                        
|ΛΟΓΟΤΕΧΝΙΑ (Κλεομένης Παπαθεοδώρου)                             |- (-)                                                           |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Τάκης Σαραγλάκης)                       |ΛΟΓΟΤΕΧΝΙΑ (Ηλέκτρα Σένσορα)                                    |- (-)                                                           

A2:
|Δευτέρα                                                         |Τρίτη                                                           |Τετάρτη                                                         |Πέμπτη                                                          |Παρασκευή                                                       
|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------
|ΟΙΚΙΑΚΗ ΟΙΚΟΝΟΜΙΑ (Ιορδανία Ζωγράφου)                           |- (-)                                                           |ΚΑΛΛΙΤΕΧΝΙΚΑ (Θάλεια Αναγνωστάκη)                               |ΜΑΘΗΜΑΤΙΚΑ (Δημοσθένης Ψαλίδας)                                 |- (-)                                                           
|ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Γιάννης Παναγιωτόπουλος)                |ΙΣΤΟΡΙΑ (Βρασίδας Δημόπουλος)                                   |ΜΑΘΗΜΑΤΙΚΑ (Αγγέλα Παπαδημακοπούλου)                            |ΓΛΩΣΣΑ (Ηλέκτρα Σένσορα)                                        |- (-)                                                           
|ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ ΚΕΙΜΕΝΑ ΑΠΟ ΜΕΤΑΦΡΑΣΗ (Κλεομένης Παπαθεοδώρου)  |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Αριστοκλής Δημητρίου)                   |- (-)                                                           |ΦΥΣΙΚΗ ΑΓΩΓΗ (Δημήτρης Αναγνωστόπουλος)                         |- (-)                                                           
|ΓΛΩΣΣΑ (Γιάννης Παναγιωτόπουλος)                                |ΠΛΗΡΟΦΟΡΙΚΗ (Τασία Ξένου)                                       |ΘΡΗΣΚΕΥΤΙΚΑ (Θεόφραστος Παπανδρέου)                             |ΓΛΩΣΣΑ (Τασία Χριστοδούλου)                                     |ΤΕΧΝΟΛΟΓΙΑ (Ιορδανία Ζωγράφου)                                  
|ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Αριστοκλής Δημητρίου)                        |- (-)                                                           |ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Γιώργος Σακελάριος)                          |ΛΟΓΟΤΕΧΝΙΑ (Τασία Χριστοδούλου)                                 |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Ηρακλής Στρατηγός)                      
|ΒΙΟΛΟΓΙΑ (Θάλεια Αναγνωστάκη)                                   |ΑΓΓΛΙΚΑ (Κλεάνθης Βιολιτζής)                                    |ΓΕΩΓΡΑΦΙΑ (Ηρακλής Στρατηγός)                                   |ΙΣΤΟΡΙΑ (Βρασίδας Δημόπουλος)                                   |- (-)                                                           
|ΑΓΓΛΙΚΑ (Δημοσθένης Ψαλίδας)                                    |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ ΚΕΙΜΕΝΑ ΑΠΟ ΜΕΤΑΦΡΑΣΗ (Βρασίδας Δημόπουλος)     |ΜΟΥΣΙΚΗ (Τασία Ξένου)                                           |- (-)                                                           |ΦΥΣΙΚΗ ΑΓΩΓΗ (Θεόφραστος Παπανδρέου)                            

A3:
|Δευτέρα                                                         |Τρίτη                                                           |Τετάρτη                                                         |Πέμπτη                                                          |Παρασκευή                                                       
|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------|----------------------------------------------------------------
|ΟΙΚΙΑΚΗ ΟΙΚΟΝΟΜΙΑ (Θάλεια Αναγνωστάκη)                          |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ ΚΕΙΜΕΝΑ ΑΠΟ ΜΕΤΑΦΡΑΣΗ (Ηρακλής Στρατηγός)       |ΜΟΥΣΙΚΗ (Βρασίδας Δημόπουλος)                                   |ΓΕΩΓΡΑΦΙΑ (Κλεομένης Παπαθεοδώρου)                              |ΜΑΘΗΜΑΤΙΚΑ (Αριστοκλής Δημητρίου)                               
|ΛΟΓΟΤΕΧΝΙΑ (Κλεάνθης Βιολιτζής)                                 |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Τιμόθεος Μήτρογλου)                     |ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Ιορδανία Ζωγράφου)                           |ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ (Βρασίδας Δημόπουλος)                    |- (-)                                                           
|ΚΑΛΛΙΤΕΧΝΙΚΑ (Κλεάνθης Βιολιτζής)                               |ΑΓΓΛΙΚΑ (Τασία Ξένου)                                           |ΒΙΟΛΟΓΙΑ (Άγγελα Βούρστ)                                        |ΛΟΓΟΤΕΧΝΙΑ (Δημοσθένης Ψαλίδας)                                 |ΓΑΛΛΙΚΑ/ΓΕΡΜΑΝΙΚΑ (Ηλέκτρα Σένσορα)                             
